Country,Country code,Survey year,Prevalence (%),Substance,Recall period,Age,Sample size,Males (%),Females (%)
Austria,AT,2022,6.2,Cocaine,Lifetime,All adults (15-64),5162,7.2,5.1
Bulgaria,BG,2020,2,Cocaine,Lifetime,All adults (15-64),3838,2.5,1.5
Croatia,HR,2019,4.8,Cocaine,Lifetime,All adults (15-64),4994,7,2.5
Cyprus,CY,2022,2.2,Cocaine,Lifetime,All adults (15-64),3510,3.5,1
Czechia,CZ,2020,2.7,Cocaine,Lifetime,All adults (15-64),2701,3.8,1.4
Denmark,DK,2023,9.4,Cocaine,Lifetime,All adults (15-64),6550,13.4,5.5
Estonia,EE,2018,5,Cocaine,Lifetime,All adults (15-64),2234,7,3.7
Finland,FI,2022,5.8,Cocaine,Lifetime,All adults (15-64),3556,8.3,3.2
France,FR,2017,5.6,Cocaine,Lifetime,All adults (15-64),20665,8.1,3.2
Germany,DE,2021,5.6,Cocaine,Lifetime,All adults (15-64),9046,7.1,4
Greece,GR,2015,1.3,Cocaine,Lifetime,All adults (15-64),1519,1.9,0.8
Hungary,HU,2019,1.7,Cocaine,Lifetime,All adults (15-64),1385,1.8,1.5
Ireland,IE,2019,8.3,Cocaine,Lifetime,All adults (15-64),,11.6,5.1
Italy,IT,2022,6.6,Cocaine,Lifetime,All adults (15-64),4011,8.9,4.2
Latvia,LV,2020,2.7,Cocaine,Lifetime,All adults (15-64),4616,4.1,1.5
Lithuania,LT,2021,1.8,Cocaine,Lifetime,All adults (15-64),2501,2.9,0.6
Luxembourg,LU,2019,2.9,Cocaine,Lifetime,All adults (15-64),3514,4.2,1.8
Malta,MT,2013,0.5,Cocaine,Lifetime,All adults (15-64),,0,0
Netherlands,NL,2022,7.8,Cocaine,Lifetime,All adults (15-64),6043,10.4,5.1
Norway,NO,2022,7.3,Cocaine,Lifetime,All adults (15-64),1657,9.7,4.8
Poland,PL,2018,0.7,Cocaine,Lifetime,All adults (15-64),3013,1.1,0.4
Portugal,PT,2022,1.1,Cocaine,Lifetime,All adults (15-64),8378,1.6,0.5
Romania,RO,2019,1.6,Cocaine,Lifetime,All adults (15-64),7200,2.1,1
Slovakia,SK,2023,2.1,Cocaine,Lifetime,All adults (15-64),,3,1.2
Slovenia,SI,2018,2.7,Cocaine,Lifetime,All adults (15-64),9161,3.6,1.6
Spain,ES,2022,12,Cocaine,Lifetime,All adults (15-64),26344,17.4,6.6
Turkey,TR,2017,0.2,Cocaine,Lifetime,All adults (15-64),,0.3,0
